host_city,year,host_country,artist_country,running_order
Turin,2022,Italy,Ukraine,6.0
Turin,2022,Italy,Netherlands,8.0
Turin,2022,Italy,Greece,15.0
Turin,2022,Italy,Portugal,10.0
Turin,2022,Italy,Bulgaria,7.0
Turin,2022,Italy,Slovenia,5.0
Turin,2022,Italy,Armenia,17.0
Turin,2022,Italy,Norway,16.0
Turin,2022,Italy,Lithuania,3.0
Turin,2022,Italy,Moldova,9.0
Turin,2022,Italy,Switzerland,4.0
Turin,2022,Italy,Iceland,14.0
Turin,2022,Italy,Croatia,11.0
Turin,2022,Italy,Albania,1.0
Turin,2022,Italy,Denmark,12.0
Turin,2022,Italy,Latvia,2.0
Turin,2022,Italy,Austria,13.0
Turin,2022,Italy,Sweden,17.0
Turin,2022,Italy,Australia,8.0
Turin,2022,Italy,Serbia,3.0
Turin,2022,Italy,Czech Republic,18.0
Turin,2022,Italy,Estonia,12.0
Turin,2022,Italy,Finland,1.0
Turin,2022,Italy,Belgium,16.0
Turin,2022,Italy,Azerbaijan,4.0
Turin,2022,Italy,Cyprus,9.0
Turin,2022,Italy,San Marino,7.0
Turin,2022,Italy,Malta,6.0
Turin,2022,Italy,Poland,14.0
Turin,2022,Italy,Romania,13.0
Turin,2022,Italy,North Macedonia,11.0
Turin,2022,Italy,Israel,2.0
Turin,2022,Italy,Ireland,10.0
Turin,2022,Italy,Montenegro,15.0
Turin,2022,Italy,Georgia,5.0
Turin,2022,Italy,United Kingdom,22.0
Turin,2022,Italy,Spain,10.0
Turin,2022,Italy,Italy,9.0
Turin,2022,Italy,France,6.0
Turin,2022,Italy,Germany,13.0
Turin,2022,Italy,Ukraine,12.0
Turin,2022,Italy,Netherlands,11.0
Turin,2022,Italy,Poland,23.0
Turin,2022,Italy,Estonia,25.0
Turin,2022,Italy,Lithuania,14.0
Turin,2022,Italy,Australia,21.0
Turin,2022,Italy,Azerbaijan,15.0
Turin,2022,Italy,Switzerland,5.0
Turin,2022,Italy,Romania,2.0
Turin,2022,Italy,Belgium,16.0
Turin,2022,Italy,Sweden,20.0
Turin,2022,Italy,Serbia,24.0
Turin,2022,Italy,Moldova,19.0
Turin,2022,Italy,Greece,17.0
Turin,2022,Italy,Portugal,3.0
Turin,2022,Italy,Norway,7.0
Turin,2022,Italy,Armenia,8.0
Turin,2022,Italy,Finland,4.0
Turin,2022,Italy,Czech Republic,1.0
Turin,2022,Italy,Iceland,18.0
Rotterdam,2021,Netherlands,Malta,16.0
Rotterdam,2021,Netherlands,Ukraine,15.0
Rotterdam,2021,Netherlands,Russia,3.0
Rotterdam,2021,Netherlands,Lithuania,1.0
Rotterdam,2021,Netherlands,Israel,12.0
Rotterdam,2021,Netherlands,Cyprus,8.0
Rotterdam,2021,Netherlands,Sweden,4.0
Rotterdam,2021,Netherlands,Azerbaijan,14.0
Rotterdam,2021,Netherlands,Belgium,11.0
Rotterdam,2021,Netherlands,Norway,9.0
Rotterdam,2021,Netherlands,Croatia,10.0
Rotterdam,2021,Netherlands,Romania,13.0
Rotterdam,2021,Netherlands,Slovenia,2.0
Rotterdam,2021,Netherlands,Australia,5.0
Rotterdam,2021,Netherlands,North Macedonia,6.0
Rotterdam,2021,Netherlands,Ireland,7.0
Rotterdam,2021,Netherlands,Switzerland,16.0
Rotterdam,2021,Netherlands,Iceland,8.0
Rotterdam,2021,Netherlands,Bulgaria,13.0
Rotterdam,2021,Netherlands,Portugal,12.0
Rotterdam,2021,Netherlands,Finland,14.0
Rotterdam,2021,Netherlands,Greece,4.0
Rotterdam,2021,Netherlands,Serbia,9.0
Rotterdam,2021,Netherlands,San Marino,1.0
Rotterdam,2021,Netherlands,Albania,11.0
Rotterdam,2021,Netherlands,Denmark,17.0
Rotterdam,2021,Netherlands,Austria,5.0
Rotterdam,2021,Netherlands,Estonia,2.0
Rotterdam,2021,Netherlands,Poland,6.0
Rotterdam,2021,Netherlands,Czech Republic,3.0
Rotterdam,2021,Netherlands,Georgia,10.0
Rotterdam,2021,Netherlands,Moldova,7.0
Rotterdam,2021,Netherlands,Latvia,15.0
Rotterdam,2021,Netherlands,Italy,24.0
Rotterdam,2021,Netherlands,France,20.0
Rotterdam,2021,Netherlands,Ukraine,19.0
Rotterdam,2021,Netherlands,Malta,6.0
Rotterdam,2021,Netherlands,Lithuania,18.0
Rotterdam,2021,Netherlands,Russia,5.0
Rotterdam,2021,Netherlands,Bulgaria,17.0
Rotterdam,2021,Netherlands,Sweden,25.0
Rotterdam,2021,Netherlands,Serbia,8.0
Rotterdam,2021,Netherlands,Cyprus,1.0
Rotterdam,2021,Netherlands,Israel,3.0
Rotterdam,2021,Netherlands,Norway,22.0
Rotterdam,2021,Netherlands,Belgium,4.0
Rotterdam,2021,Netherlands,Azerbaijan,21.0
Rotterdam,2021,Netherlands,Netherlands,23.0
Rotterdam,2021,Netherlands,Iceland,12.0
Rotterdam,2021,Netherlands,Finland,16.0
Rotterdam,2021,Netherlands,Greece,10.0
Rotterdam,2021,Netherlands,Portugal,7.0
Rotterdam,2021,Netherlands,Moldova,14.0
Rotterdam,2021,Netherlands,San Marino,26.0
Rotterdam,2021,Netherlands,Switzerland,11.0
Rotterdam,2021,Netherlands,Albania,2.0
Rotterdam,2021,Netherlands,Spain,13.0
Rotterdam,2021,Netherlands,Germany,15.0
Rotterdam,2021,Netherlands,United Kingdom,9.0
Rotterdam,2020,Netherlands,Slovenia,5.0
Rotterdam,2020,Netherlands,Norway,14.0
Rotterdam,2020,Netherlands,Israel,15.0
Rotterdam,2020,Netherlands,Cyprus,13.0
Rotterdam,2020,Netherlands,Azerbaijan,12.0
Rotterdam,2020,Netherlands,Ukraine,17.0
Rotterdam,2020,Netherlands,Belgium,9.0
Rotterdam,2020,Netherlands,Russia,8.0
Rotterdam,2020,Netherlands,North Macedonia,4.0
Rotterdam,2020,Netherlands,Lithuania,6.0
Rotterdam,2020,Netherlands,Australia,3.0
Rotterdam,2020,Netherlands,Ireland,7.0
Rotterdam,2020,Netherlands,Croatia,11.0
Rotterdam,2020,Netherlands,Sweden,1.0
Rotterdam,2020,Netherlands,Belarus,2.0
Rotterdam,2020,Netherlands,Malta,10.0
Rotterdam,2020,Netherlands,Romania,16.0
