Country,Year,Points,Place,Draw,Countries
Albania,2004,106,7,9,24
Albania,2005,53,16,8,24
Albania,2008,55,17,3,25
Albania,2009,48,17,19,25
Albania,2010,62,16,15,25
Albania,2012,146,5,3,26
Albania,2015,34,17,26,27
Albania,2018,184,11,12,26
Albania,2019,90,17,2,26
Albania,2021,57,21,2,26
Armenia,2006,129,8,24,24
Armenia,2007,138,8,23,24
Armenia,2008,199,4,5,25
Armenia,2009,92,10,9,25
Armenia,2010,141,7,21,25
Armenia,2013,41,18,12,26
Armenia,2014,174,4,7,26
Armenia,2015,34,16,6,27
Armenia,2016,249,7,26,26
Armenia,2017,79,18,5,26
Armenia,2022,61,20,8,25
Australia,2015,196,5,12,27
Australia,2016,511,2,13,26
Australia,2017,173,9,14,26
Australia,2018,99,20,16,26
Australia,2019,284,9,25,26
Australia,2022,125,15,21,25
Austria,1957,3,10,5,10
Austria,1958,8,5,9,10
Austria,1959,4,9,9,11
Austria,1960,6,7,7,13
Austria,1961,1,15,3,16
Austria,1962,0,13,4,16
Austria,1963,16,7,4,16
Austria,1964,11,6,6,16
Austria,1965,16,4,6,18
Austria,1966,31,1,9,18
Austria,1967,2,14,3,17
Austria,1968,2,13,4,17
Austria,1971,66,16,1,18
Austria,1972,100,5,11,18
Austria,1976,80,5,14,18
Austria,1977,11,17,4,18
Austria,1978,14,15,19,20
Austria,1979,5,18,18,19
Austria,1980,64,8,1,19
Austria,1981,20,17,1,20
Austria,1982,57,9,10,18
Austria,1983,53,9,18,20
Austria,1984,5,19,13,19
Austria,1985,60,8,17,19
Austria,1986,12,18,16,20
Austria,1987,8,20,3,22
Austria,1988,0,21,12,21
Austria,1989,97,5,13,22
Austria,1990,58,10,20,22
Austria,1991,0,22,6,22
Austria,1992,63,10,15,23
Austria,1993,32,14,10,25
Austria,1994,19,17,20,25
Austria,1995,67,13,8,23
Austria,1996,68,10,8,23
Austria,1997,12,21,4,25
Austria,1999,65,10,18,23
Austria,2000,34,14,24,24
Austria,2002,26,18,3,24
Austria,2003,101,6,2,26
Austria,2004,9,21,2,24
Austria,2011,64,18,18,25
Austria,2014,290,1,11,26
Austria,2015,0,26,14,27
Austria,2016,151,13,24,26
Austria,2017,93,16,4,26
Austria,2018,342,3,5,26
Azerbaijan,2008,132,8,20,25
Azerbaijan,2009,207,3,11,25
Azerbaijan,2010,145,5,1,25
Azerbaijan,2011,221,1,19,25
Azerbaijan,2012,150,4,13,26
Azerbaijan,2013,234,2,20,26
Azerbaijan,2014,33,22,3,26
Azerbaijan,2015,49,12,24,27
Azerbaijan,2016,117,17,4,26
Azerbaijan,2017,120,14,12,26
Azerbaijan,2019,302,8,20,26
Azerbaijan,2021,65,20,21,26
Azerbaijan,2022,106,16,15,25
Belarus,2007,145,6,3,24
Belarus,2010,18,24,9,25
Belarus,2013,48,16,8,26
Belarus,2014,43,16,2,26
Belarus,2017,83,17,3,26
Belarus,2019,31,24,19,26
Belgium,1957,5,8,1,10
Belgium,1958,8,5,7,10
Belgium,1959,9,6,11,11
Belgium,1960,9,6,5,13
Belgium,1961,1,15,11,16
Belgium,1962,0,13,2,16
Belgium,1963,4,10,14,16
Belgium,1964,2,10,15,16
Belgium,1965,0,15,8,18
Belgium,1966,14,4,3,18
Belgium,1967,8,7,10,17
Belgium,1968,8,7,3,17
Belgium,1969,10,7,10,16
Belgium,1970,5,8,5,12
Belgium,1971,68,14,10,18
Belgium,1972,55,17,16,18
Belgium,1973,58,17,2,17
Belgium,1974,10,9,11,17
Belgium,1975,17,15,11,19
Belgium,1976,68,8,6,18
Belgium,1977,69,7,17,18
Belgium,1978,125,2,10,20
Belgium,1979,5,18,12,19
Belgium,1980,14,17,19,19
Belgium,1981,40,13,16,20
Belgium,1982,96,4,11,18
Belgium,1983,13,18,19,20
Belgium,1984,70,5,8,19
Belgium,1985,7,19,8,19
Belgium,1986,176,1,13,20
Belgium,1987,56,11,5,22
Belgium,1988,5,18,16,21
Belgium,1989,13,19,6,22
Belgium,1990,46,12,3,22
Belgium,1991,23,16,18,22
Belgium,1992,11,20,2,23
Belgium,1993,3,25,7,25
Belgium,1995,8,20,14,23
Belgium,1996,22,16,16,23
Belgium,1998,122,6,20,25
Belgium,1999,38,12,2,23
Belgium,2000,2,24,10,24
Belgium,2002,33,13,16,24
Belgium,2003,165,2,22,26
Belgium,2004,7,22,13,24
Belgium,2010,143,6,7,25
Belgium,2013,71,12,6,26
Belgium,2015,217,4,13,27
Belgium,2016,181,10,1,26
Belgium,2017,363,4,23,26
Belgium,2021,74,19,4,26
Belgium,2022,64,19,16,25
Bosnia Herzegovina,1993,27,16,18,25
Bosnia Herzegovina,1994,39,15,18,25
Bosnia Herzegovina,1995,14,19,4,23
Bosnia Herzegovina,1996,13,22,21,23
Bosnia Herzegovina,1997,22,18,14,25
Bosnia Herzegovina,1999,86,7,22,23
Bosnia Herzegovina,2001,29,14,3,23
Bosnia Herzegovina,2002,33,13,15,24
Bosnia Herzegovina,2003,27,16,6,26
Bosnia Herzegovina,2004,91,9,12,24
Bosnia Herzegovina,2005,79,14,21,24
Bosnia Herzegovina,2006,229,3,13,24
Bosnia Herzegovina,2007,106,11,1,24
Bosnia Herzegovina,2008,110,10,6,25
Bosnia Herzegovina,2009,106,9,12,25
Bosnia Herzegovina,2010,51,17,6,25
Bosnia Herzegovina,2011,125,6,2,25
Bosnia Herzegovina,2012,55,18,5,26
Bulgaria,2007,157,5,21,24
Bulgaria,2016,307,4,8,26
Bulgaria,2017,615,2,25,26
Bulgaria,2018,166,14,18,26
